plot,block,warm,pre
1,A,E,K
2,A,A,K
3,A,E,W
4,A,A,D
5,A,E,D
6,A,A,W
7,B,A,W
8,B,E,D
9,B,A,D
10,B,E,W
11,B,A,K
12,B,E,K
13,C,A,D
14,C,E,K
15,C,A,K
16,C,E,D
17,C,A,W
18,C,E,W
19,D,E,W
20,D,A,W
21,D,E,D
22,D,A,K
23,D,E,K
24,D,A,D
25,E,A,K
26,E,E,W
27,E,A,W
28,E,E,K
29,E,A,D
30,E,E,D
31,F,E,D
32,F,A,D
33,F,E,K
34,F,A,W
35,F,E,W
36,F,A,K
