type	year	number
es_cc	2021	1849
es_cc	2020	1605
es_cc	2019	1400
es_cc	2018	1049
es_cc	2017	916
es_cc	2016	837
es_cc	2015	661
es_cc	2014	527
es_cc	2013	472
es_cc	2012	294
es_cc	2011	276
es_cc	2010	190
es_cc	2009	116
es_cc	2008	82
es_cc	2007	28
es_cc	2006	22
es_cc	2005	16
es_cc	2004	15
es_cc	2002	11
es_cc	2003	9
es_cc	1999	3
es_cc	2000	2
es_cc	2001	2
