type	year	number
es	2021	7680
es	2020	6870
es	2019	6101
es	2018	5401
es	2017	4500
es	2016	4005
es	2015	3266
es	2014	2771
es	2013	2346
es	2012	1749
es	2011	1477
es	2010	1080
es	2009	802
es	2008	579
es	2007	441
es	2006	315
es	2005	207
es	2004	162
es	2003	138
es	2002	95
es	2001	55
es	2000	50
es	1999	30
es	1998	26
es	1997	11
