type	year	number
es_cc_exp_long	2021	53
es_cc_exp_long	2020	40
es_cc_exp_long	2019	37
es_cc_exp_long	2017	25
es_cc_exp_long	2018	25
es_cc_exp_long	2015	20
es_cc_exp_long	2016	20
es_cc_exp_long	2014	15
es_cc_exp_long	2011	12
es_cc_exp_long	2012	12
es_cc_exp_long	2013	11
es_cc_exp_long	2008	4
es_cc_exp_long	2010	4
es_cc_exp_long	2009	2
es_cc_exp_long	2004	1
es_cc_exp_long	2005	1
es_cc_exp_long	2006	1
