type	year	number
es_cc_exp	2021	244
es_cc_exp	2020	242
es_cc_exp	2019	185
es_cc_exp	2017	136
es_cc_exp	2018	136
es_cc_exp	2016	116
es_cc_exp	2015	97
es_cc_exp	2014	81
es_cc_exp	2013	70
es_cc_exp	2012	48
es_cc_exp	2011	40
es_cc_exp	2009	23
es_cc_exp	2010	18
es_cc_exp	2008	14
es_cc_exp	2005	5
es_cc_exp	2007	5
es_cc_exp	2004	3
es_cc_exp	2006	3
es_cc_exp	2002	2
es_cc_exp	2003	2
es_cc_exp	2001	1
